"filename", "language", "JavaScript", "JSON", "TypeScript", "JSON with Comments", "HTML", "Markdown", "TypeScript JSX", "PostCSS", "XML", "comment", "blank", "total"
"c:\myDip\projectDip\Cinema library\src\components\ReviewForm\index.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\myDip\projectDip\Cinema library\src\components\SideBar\SideBar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 118, 0, 0, 10, 13, 141
"c:\myDip\projectDip\Cinema library\src\components\SideBar\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\myDip\projectDip\Cinema library\src\i18n.ts", "TypeScript", 0, 0, 19, 0, 0, 0, 0, 0, 0, 2, 3, 24
"c:\myDip\projectDip\Cinema library\src\images\Logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 1, 18
"c:\myDip\projectDip\Cinema library\src\images\icons\Search.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 1, 5
"c:\myDip\projectDip\Cinema library\src\index.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 2
"c:\myDip\projectDip\Cinema library\src\locales\en.json", "JSON", 0, 146, 0, 0, 0, 0, 0, 0, 0, 0, 0, 146
"c:\myDip\projectDip\Cinema library\src\locales\uk.json", "JSON", 0, 146, 0, 0, 0, 0, 0, 0, 0, 0, 0, 146
"c:\myDip\projectDip\Cinema library\src\main.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 2, 19
"c:\myDip\projectDip\Cinema library\src\output.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 1343, 0, 1, 1, 1345
"c:\myDip\projectDip\Cinema library\src\pages\AnalyticsPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 165, 0, 0, 5, 24, 194
"c:\myDip\projectDip\Cinema library\src\pages\CatalogPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 253, 0, 0, 17, 46, 316
"c:\myDip\projectDip\Cinema library\src\pages\HomePage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 95, 0, 0, 9, 15, 119
"c:\myDip\projectDip\Cinema library\src\pages\MovieDetailsPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 177, 0, 0, 11, 24, 212
"c:\myDip\projectDip\Cinema library\src\pages\ProfilePage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 183, 0, 0, 7, 26, 216
"c:\myDip\projectDip\Cinema library\src\pages\SettingsPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 153, 0, 0, 16, 20, 189
"c:\myDip\projectDip\Cinema library\src\pages\WatchlistDetailPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 220, 0, 0, 10, 27, 257
"c:\myDip\projectDip\Cinema library\src\pages\WatchlistsHubPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 118, 0, 0, 5, 20, 143
"c:\myDip\projectDip\Cinema library\src\services\api.ts", "TypeScript", 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 10, 50
"c:\myDip\projectDip\Cinema library\src\store\authSlice.ts", "TypeScript", 0, 0, 70, 0, 0, 0, 0, 0, 0, 3, 12, 85
"c:\myDip\projectDip\Cinema library\src\store\hooks.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\myDip\projectDip\Cinema library\src\store\store.ts", "TypeScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 3, 17
"c:\myDip\projectDip\Cinema library\src\store\themeSlice.ts", "TypeScript", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 7, 32
